Customer_ID,Cluster_Label,Predicted_Churn,Churn_Probability,Predicted_Next_Quarter_Revenue,Risk_Score,Revenue_Potential_Score,Engagement_Score,Engagement_Level
11177,At-Risk SMB,0,4.316189071029491e-09,36.364887,10.56,17.15,31.63,Low
14771,High-Growth Startup,0,3.8727962057176376e-09,11696.725,6.56,40.76,44.09,Low
11091,High Revenue Loyal,0,2.417321983132218e-09,19385.465,7.36,58.19,70.76,Medium
14818,At-Risk SMB,1,0.9999999987781076,743.99384,61.57,13.28,18.29,Low
14376,High Revenue Loyal,0,1.0633685047576955e-09,3344.7573,7.07,47.53,81.95,High
10280,Discount-Heavy Stable,0,2.265499584223926e-09,191.19601,11.03,30.49,55.44,Medium
10997,High-Growth Startup,0,6.791533752158246e-10,2582.5662,7.83,35.62,50.93,Medium
10585,Discount-Heavy Stable,0,1.4644281551612112e-08,78.1352,7.94,26.78,48.07,Low
11486,High Revenue Loyal,0,6.924829916285302e-10,1720.5605,7.36,38.72,65.31,Medium
13927,At-Risk SMB,0,2.3977534660099393e-10,17.797323,8.27,16.03,24.89,Low
12772,High-Growth Startup,0,1.8124492614900023e-08,6780.402,8.09,48.53,70.76,Medium
13652,High Revenue Loyal,1,0.9999999993784694,2475.8054,57.87,45.82,78.78,High
14417,At-Risk SMB,1,0.9999999998816254,1390.4343,62.11,18.47,26.62,Low
14011,High Revenue Loyal,0,2.835335332970029e-09,25102.203,8.96,75.16,85.3,High
13945,High Revenue Loyal,0,2.0520651407918904e-09,15667.669,7.76,68.62,92.08,High
11613,High-Growth Startup,0,5.074471261523915e-10,2294.3005,8.88,38.61,66.92,Medium
13195,High-Growth Startup,0,1.8590096941142215e-09,182.30101,7.76,34.44,62.53,Medium
10473,High Revenue Loyal,0,3.189820232349278e-09,6458.175,7.36,46.24,70.43,Medium
14732,Discount-Heavy Stable,0,2.233965480420412e-09,9359.672,9.35,45.76,65.44,Medium
11581,Discount-Heavy Stable,0,4.3762240978805475e-09,4520.3154,9.82,40.25,64.34,Medium
10970,High Revenue Loyal,0,3.0705052547906286e-09,13315.0625,8.78,61.91,86.65,High
12225,Discount-Heavy Stable,0,1.0156891568700023e-09,126.38337,10.18,24.17,38.34,Low
13882,Discount-Heavy Stable,0,1.753387192277117e-09,151.20859,8.96,20.94,30.85,Low
14392,High-Growth Startup,0,3.990842029405048e-09,227.76228,8.27,36.85,67.22,Medium
10752,At-Risk SMB,0,2.451929864092131e-09,2330.6245,11.98,22.59,36.65,Low
14412,High Revenue Loyal,0,3.8339917368209735e-09,19709.576,9.47,60.95,74.54,Medium
10735,High Revenue Loyal,0,3.8339917368209735e-09,16745.229,8.09,59.95,78.97,High
10764,High Revenue Loyal,0,7.63285747099977e-10,608.1833,7.87,44.87,81.85,High
13936,High Revenue Loyal,0,2.835335332970029e-09,17748.086,6.96,59.19,71.7,Medium
14948,High-Growth Startup,0,2.4106424938037603e-09,237.43561,7.76,28.91,44.58,Low
11127,At-Risk SMB,0,7.139069610526485e-08,45.90008,18.3,18.77,31.38,Low
13581,High-Growth Startup,0,7.564707515527676e-10,2619.5642,10.29,36.59,56.93,Medium
13981,High Revenue Loyal,0,4.185405152616078e-09,17625.7,7.18,64.5,80.28,High
14587,At-Risk SMB,0,5.486143420491354e-09,2323.325,18.39,17.98,26.67,Low
13287,High-Growth Startup,0,1.4369931778955564e-08,7432.982,8.16,39.33,62.1,Medium
10945,At-Risk SMB,0,2.841916518446628e-09,2490.0,10.89,17.73,24.71,Low
14199,High Revenue Loyal,0,2.835335332970029e-09,21200.68,7.36,63.3,69.1,Medium
12407,High-Growth Startup,1,0.9999998234797804,6599.028,58.8,32.15,39.58,Low
12719,High Revenue Loyal,0,3.420991245782718e-10,210.14029,10.3,43.12,79.3,High
14350,Discount-Heavy Stable,0,2.280339330648083e-09,8178.1855,11.39,37.83,45.94,Low
10347,Discount-Heavy Stable,0,8.604005195879522e-08,181.3389,8.16,29.21,46.36,Low
11421,High-Growth Startup,0,3.095185109509527e-09,8277.856,8.16,37.16,49.67,Low
10472,At-Risk SMB,0,2.1659755742424447e-09,1717.6056,14.18,17.1,21.93,Low
11262,At-Risk SMB,1,0.9999999090578462,987.4917,65.55,25.03,40.71,Low
13810,High-Growth Startup,0,2.0723807639518846e-09,600.69653,8.89,35.66,56.38,Medium
13883,High-Growth Startup,0,4.1782738072684377e-10,557.6852,9.32,34.59,58.88,Medium
12347,Discount-Heavy Stable,0,3.6290441327124763e-09,9184.718,8.34,41.08,50.32,Medium
12003,Discount-Heavy Stable,0,1.0333479042899788e-09,1480.1383,9.32,29.3,45.38,Low
14344,High Revenue Loyal,0,2.4390826807547156e-09,4218.0557,8.49,43.35,68.46,Medium
14010,High-Growth Startup,0,2.835335332970029e-09,8436.188,7.98,53.17,75.4,High
14897,High Revenue Loyal,0,5.302285443472398e-10,230.15549,7.5,41.14,75.9,High
11050,High Revenue Loyal,0,2.8337739136846277e-09,6404.191,7.07,54.38,88.42,High
10747,At-Risk SMB,1,0.9999999995553472,-256.85345,64.29,12.79,26.85,Low
10487,At-Risk SMB,0,0.0001002792872677,-7.436667,11.58,24.59,39.13,Low
14551,High Revenue Loyal,0,3.129143457716442e-09,454.8585,7.36,42.51,75.83,High
14580,High Revenue Loyal,0,4.093312769904425e-08,20030.32,7.29,60.1,66.63,Medium
10849,High Revenue Loyal,0,3.6772499517062245e-09,20381.979,8.19,68.01,87.52,High
