Customer_ID,Geo_ID,Industry_ID,Product_ID,Cluster_Label,Account_Tier,Company_Size,Company_Age_Years,Employees,Legal_Entity_Type,HQ_vs_Billing,Tenure_Months,Contract_Type,Contract_Start_Date,Contract_End_Date,Renewal_Probability,CSM_Assigned,CSM_Name,Executive_Sponsor,Health_Score,Onboarding_Completed,QBR_Completed_Last_6M,Last_Training_Days_Ago,Licenses_Purchased,Daily_Active_Users,Feature_Adoption_Pct,API_Calls_Monthly,Mobile_Users_Pct,Sessions_Per_User_Day,Avg_Session_Minutes,Integrations_Count,Custom_Reports_Count,Automations_Active,Support_Tickets,Escalated_Tickets,CSAT_Score,NPS_Score,Subscription_Value_Local,Discount_Pct,ACV_Local,ACV_USD,Last_Invoice_Amount_USD,Lifetime_Revenue_USD,Add_On_Revenue_USD,Payment_Delay_Days,Price_Sensitivity,Competitor_Mentioned,Downsell_Requested,Renewal_Risk_Flag,Churn,Next_Quarter_Revenue_USD,Total_Transactions,Total_Revenue_USD,Avg_Revenue_USD,Total_Billed_USD,Total_AddOn_Revenue,Avg_Discount,Avg_Tax,Avg_Payment_Delay,Max_Payment_Delay,Avg_Daily_Active_Users,Avg_Monthly_Active_Users,Avg_Feature_Adoption,Avg_API_Calls,Avg_Licenses_Used,Avg_Licenses_Purchased,Avg_License_Utilization,Avg_Sessions,Avg_Session_Min,Avg_Mobile_Sessions,Avg_Integrations,Avg_Automations,Avg_Reports,Avg_Data_Records,Avg_Storage,Avg_Errors,Avg_Uptime,Total_Events,Avg_Resolution_Days,Avg_Score,At-Risk Alert,CSAT Survey,Certification Earned,Champion Change,Community Post,Escalation,Executive Business Review,NPS Survey,Onboarding Call,Product Feedback,QBR Meeting,Support Ticket,Training Session,Unknown,Webinar Attended, Chat  , Email  , In-App  , In-Person  , Phone  , Portal  , Video Call  ,Chat,Email,In-App,In-Person,Phone,Portal,Video Call,Critical,High,Low,Medium,Not Applicable_x,Closed-No-Action,Escalated,Not Applicable_y,Pending,Resolved,Workaround,Negative,Neutral,Positive,FollowUp_Count,SLA_Breach_Count,Manager_Escalation_Count
11177,121,4,27,At-Risk SMB,Platinum,Startup (<50),10,91.0,Ltd,Same as Billing,46,Pay-As-You-Go,2023-05-18,2024-05-17,0.29,Yes,CSM-017,No,38,No,No,27,17,13,38.1,3707,56.6,2.2,8.0,2,2,2,11,4,3.0,18.0,14760,25.0,11070,132,29,539,6,0,Medium,No,Yes,Low,0,26,11,398,36.18181818181818,420,22,24.30909090909091,12.181818181818182,0.0,0,10.555555555555555,16.666666666666668,32.980555555555554,3166.4166666666665,13.194444444444445,17.0,62.083333333333336,246.55555555555554,7.977777777777778,56.458333333333336,2.0,62.861111111111114,9.63888888888889,4018.1388888888887,10.686944444444443,5.444444444444445,99.16194444444444,13,0.8461538461538461,1.9307692307692308,0,1,0,0,1,0,1,0,0,0,5,2,2,1,0,0,0,0,0,0,0,0,4,2,1,3,1,0,2,0,0,1,1,11,0,0,11,0,2,0,7,3,3,4,2,0
14771,44,5,25,High-Growth Startup,Gold,Startup (<50),1,309.0,AG,Different Country,28,Annual,2022-07-29,2023-07-29,0.67,Yes,CSM-019,Yes,59,Yes,No,16,142,25,45.5,38883,27.2,3.5,17.0,3,5,10,1,0,3.4,31.0,41611,13.4,36035,39278,10354,91518,2387,0,High,Yes,No,Low,0,13188,8,9989,1248.625,9989,0,11.7875,12.375,0.0,0,32.535714285714285,48.42857142857143,61.53214285714286,51816.71428571428,39.42857142857143,142.0,22.910714285714285,856.6428571428571,16.41785714285714,27.364285714285717,3.0,306.35714285714283,24.214285714285715,6148.607142857143,24.280714285714286,4.928571428571429,98.83571428571429,3,0.0,2.433333333333333,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,2,0,1,2,0,0,0,2,0,1,1,0,0
11091,6,7,27,High Revenue Loyal,Bronze,Mid-Market (251-1000),7,990.0,GmbH,Same as Billing,63,Multi-Year,2024-08-30,2026-08-30,0.74,Yes,CSM-037,No,76,Yes,Yes,8,115,150,66.5,51050,24.3,3.2,27.0,6,16,14,3,0,4.3,72.0,74818,8.0,68832,68832,16687,360919,2917,0,High,Yes,No,Low,0,18867,9,102280,11364.444444444445,103472,1192,5.977777777777778,7.777777777777778,0.0,0,190.75,317.80555555555554,83.87777777777778,63639.25,115.0,115.0,100.0,4699.027777777777,26.677777777777777,24.683333333333334,6.0,415.52777777777777,78.27777777777777,4612.472222222223,22.4925,4.888888888888889,98.98027777777777,9,0.7777777777777778,0.48888888888888893,0,1,0,0,0,1,0,0,0,0,0,4,2,0,1,0,0,0,0,0,0,0,2,0,4,1,1,1,0,0,1,2,2,4,0,1,4,0,4,0,3,3,3,2,1,0
14818,1,3,17,At-Risk SMB,Strategic,Startup (<50),2,121.0,LLC,Different Country,44,Monthly,2023-04-21,2023-07-20,0.58,No,Unknown,No,32,Yes,No,230,18,38,5.0,5138,34.7,1.5,4.0,1,4,2,10,8,3.9,-24.0,11027,17.5,9097,9097,1940,31493,399,13,Medium,Yes,No,High,1,189,3,1266,422.0,1266,0,13.533333333333331,8.333333333333334,13.0,13,33.27777777777778,53.69444444444444,4.319444444444445,4594.166666666667,18.0,18.0,100.0,796.3611111111111,3.988888888888889,34.57222222222222,1.0,62.97222222222222,20.305555555555557,3929.1388888888887,19.119722222222222,5.333333333333333,98.90888888888888,11,0.7272727272727273,4.090909090909091,1,0,0,0,0,1,0,1,1,1,1,3,2,0,0,0,0,0,0,0,0,0,1,2,3,3,1,1,0,0,0,4,1,6,0,1,7,0,3,0,4,2,5,6,1,1
14376,19,10,18,High Revenue Loyal,Bronze,SMB (50-250),9,245.0,Sdn Bhd,Same as Billing,50,Annual,2022-03-02,2023-03-02,0.9,No,Unknown,No,100,Yes,Yes,87,197,149,70.7,47489,59.6,0.6,20.0,10,21,20,2,0,4.0,57.0,78631,10.7,70217,14043,3189,58603,3770,1,Medium,No,No,Low,0,4295,8,8432,1054.0,8600,168,8.5625,14.5,1.0,1,190.86111111111111,305.44444444444446,88.0,59325.52777777778,195.52777777777777,197.0,92.24722222222222,4730.833333333333,20.11111111111111,59.794444444444444,10.0,581.3611111111111,106.36111111111111,5650.861111111111,24.208333333333332,4.75,99.05805555555555,2,0.0,1.85,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,2,1,0,0
10280,122,1,19,Discount-Heavy Stable,Silver,Startup (<50),1,96.0,Pte Ltd,Same as Billing,40,Annual,2022-04-15,2023-04-15,0.63,No,Unknown,Yes,50,Yes,No,52,43,82,69.8,13497,55.7,4.3,9.0,2,6,14,10,4,4.1,3.0,37209,33.3,24818,297,81,869,14,8,High,No,No,Low,0,83,15,1109,73.93333333333334,1115,6,21.10666666666667,10.2,8.0,8,88.77777777777777,142.0,75.96666666666667,14897.861111111111,43.0,43.0,100.0,2252.722222222222,9.069444444444445,55.43888888888889,2.0,421.22222222222223,29.333333333333332,6184.583333333333,20.14361111111111,5.194444444444445,99.01055555555556,10,0.4,0.49000000000000005,0,1,0,1,0,1,1,0,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,3,1,2,0,2,2,0,1,3,0,6,0,0,7,1,2,0,0,5,5,3,2,1
10997,94,7,6,High-Growth Startup,Strategic,Enterprise (1000+),14,314.0,Ltda,Different Country,5,Annual,2022-02-26,2023-02-26,0.99,Yes,CSM-031,No,54,Yes,Yes,5,122,72,56.8,26094,43.0,3.5,16.0,6,6,9,2,0,3.9,29.0,39031,8.4,35752,9653,2338,3758,1625,8,Low,No,No,Low,0,2355,9,7972,885.7777777777778,7972,0,6.344444444444445,9.333333333333334,8.0,8,73.0,115.4,58.48,26646.2,98.4,122.0,59.839999999999996,1499.2,16.48,43.739999999999995,6.0,300.6,31.6,5619.4,21.182,5.2,98.958,2,0.5,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,2,1,0,0
10585,126,3,20,Discount-Heavy Stable,Bronze,Startup (<50),7,179.0,Sdn Bhd,Same as Billing,42,Multi-Year,2024-01-07,2026-01-06,0.56,No,Unknown,No,70,No,No,178,132,54,37.8,7377,31.6,5.0,21.0,7,7,9,2,1,4.1,13.0,31440,24.0,23894,286,70,1003,218,9,Low,No,No,Low,0,71,11,1722,156.54545454545453,1737,15,19.88181818181818,8.545454545454545,9.0,9,58.166666666666664,89.11111111111111,40.42777777777778,8065.0,73.44444444444444,132.0,44.06666666666667,1493.611111111111,20.836111111111112,32.388888888888886,7.0,268.3888888888889,36.44444444444444,5609.055555555556,18.291666666666668,4.916666666666667,98.97027777777777,9,0.4444444444444444,1.411111111111111,0,3,1,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,2,4,2,0,0,1,0,2,6,0,0,6,0,3,0,3,1,5,2,1,0
11486,145,19,5,High Revenue Loyal,Silver,Mid-Market (251-1000),7,858.0,AG,Same as Billing,47,Annual,2022-10-06,2023-10-06,0.99,No,Unknown,No,78,Yes,Yes,10,190,139,53.4,68400,54.6,4.3,26.0,13,12,15,3,0,4.1,40.0,53839,2.9,52277,7318,1689,27992,2197,0,Medium,No,No,Low,0,2096,9,2043,227.0,2043,0,2.3333333333333335,7.444444444444445,0.0,0,178.72222222222223,279.8333333333333,67.71111111111111,86002.19444444444,186.33333333333334,190.0,90.75833333333334,4325.472222222223,25.525,53.583333333333336,13.0,442.8611111111111,60.52777777777778,6399.472222222223,24.92527777777778,4.638888888888889,99.0311111111111,9,0.4444444444444444,3.0,0,0,0,0,0,0,0,1,0,0,2,5,0,0,1,0,0,0,0,1,0,0,1,3,1,1,0,0,2,0,2,1,2,4,1,0,4,0,4,0,3,0,6,1,0,0
13927,129,10,21,At-Risk SMB,Gold,Startup (<50),7,132.0,Corp,Same as Billing,31,Annual,2023-07-11,2024-07-10,0.55,No,Unknown,Yes,34,No,Yes,293,13,28,21.8,3084,16.7,0.7,16.0,1,3,2,5,1,2.8,-10.0,15846,10.4,14198,95,22,209,64,1,High,No,No,Low,0,24,15,72,4.8,80,8,8.813333333333333,8.133333333333333,1.0,1,23.419354838709676,37.03225806451613,19.183870967741935,2762.0967741935483,13.0,13.0,100.0,594.4516129032259,16.306451612903224,16.261290322580646,1.0,58.38709677419355,14.64516129032258,4502.1612903225805,23.75193548387097,4.903225806451613,98.98806451612903,5,2.0,0.52,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,4,0,0,4,1,0,0,4,1,0,4,2,0
12772,4,4,11,High-Growth Startup,Bronze,Startup (<50),2,399.0,Ltda,Same as Billing,6,Annual,2023-07-23,2024-07-22,0.69,No,Unknown,Yes,72,No,Yes,4,115,41,95.5,47922,39.4,4.0,18.0,5,9,16,4,1,3.9,39.0,36831,18.0,30201,30201,6616,15388,237,3,Low,No,No,Low,0,9713,4,30711,7677.75,30711,0,14.3,17.5,3.0,3,44.166666666666664,64.16666666666667,99.45,49219.166666666664,57.333333333333336,115.0,38.38333333333333,1244.3333333333333,18.03333333333333,39.96666666666667,5.0,451.5,39.166666666666664,6376.166666666667,20.514999999999997,5.333333333333333,99.07666666666667,7,0.8571428571428571,0.4571428571428572,0,1,0,0,0,1,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,2,0,1,0,1,0,5,0,0,5,0,2,0,2,2,3,0,1,1
13652,164,18,16,High Revenue Loyal,Gold,SMB (50-250),10,593.0,GmbH,Same as Billing,49,Multi-Year,2023-06-04,2025-06-03,0.99,No,Unknown,Yes,85,Yes,Yes,7,172,155,76.4,42145,32.8,3.3,13.0,7,20,17,4,0,3.7,28.0,83658,20.2,66759,14686,3911,60259,2011,1,High,No,No,Low,1,187,4,15664,3916.0,15664,0,20.875,15.0,1.0,1,195.47222222222223,311.97222222222223,92.29166666666667,53701.63888888889,172.0,172.0,98.30277777777778,4635.75,13.625,32.583333333333336,7.0,508.0,91.80555555555556,6960.944444444444,28.589444444444446,5.0,98.97305555555556,7,0.0,4.1,0,1,0,0,1,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,2,0,1,1,0,5,0,0,5,0,2,0,4,1,2,2,0,0
